#C Xe 10keV Si
#IncidenceAngle	Yield
0.0	2.835
1.5	2.831
3.0	2.842
4.5	2.86
6.0	2.884
7.5	2.912
9.0	2.946
10.5	2.992
12.0	3.044
13.5	3.095
15.0	3.151
16.5	3.221
18.0	3.301
19.5	3.385
21.0	3.48
22.0	3.542
23.0	3.609
24.0	3.685
25.0	3.757
26.0	3.837
27.0	3.925
28.0	4.008
29.0	4.097
30.0	4.199
31.0	4.297
32.0	4.405
33.0	4.51
34.0	4.628
35.0	4.747
36.0	4.869
37.0	5.001
38.0	5.139
39.0	5.281
40.0	5.432
40.75	5.549
41.5	5.668
42.25	5.793
43.0	5.924
43.75	6.052
44.5	6.189
45.25	6.332
46.0	6.485
46.75	6.628
47.5	6.79
48.25	6.959
49.0	7.128
49.75	7.31
50.5	7.49
51.0	7.612
51.5	7.746
52.0	7.881
52.5	8.012
53.0	8.156
53.5	8.295
54.0	8.451
54.5	8.597
55.0	8.754
55.5	8.909
56.0	9.074
56.5	9.242
57.0	9.419
57.5	9.594
58.0	9.766
58.5	9.958
59.0	10.153
59.5	10.345
60.0	10.544
60.5	10.741
61.0	10.954
61.5	11.175
62.0	11.382
62.5	11.617
63.0	11.839
63.5	12.078
64.0	12.322
64.5	12.562
65.0	12.817
65.5	13.068
66.0	13.328
66.5	13.593
67.0	13.861
67.5	14.128
68.0	14.398
68.5	14.668
69.0	14.948
69.5	15.231
70.0	15.506
70.25	15.638
70.5	15.788
70.75	15.915
71.0	16.064
71.25	16.191
71.5	16.336
71.75	16.458
72.0	16.598
72.25	16.724
72.5	16.855
72.75	16.987
73.0	17.109
73.25	17.25
73.5	17.365
73.75	17.469
74.0	17.597
74.25	17.704
74.5	17.814
74.75	17.902
75.0	18.01
75.25	18.097
75.5	18.192
75.75	18.268
76.0	18.337
76.25	18.414
76.5	18.475
76.75	18.534
77.0	18.579
77.25	18.618
77.5	18.634
77.75	18.685
78.0	18.671
78.25	18.673
78.5	18.664
78.75	18.638
79.0	18.608
79.25	18.555
79.5	18.473
79.75	18.404
80.0	18.299
80.1	18.267
80.2	18.223
80.3	18.154
80.4	18.109
80.5	18.046
80.6	17.992
80.7	17.926
80.8	17.877
80.9	17.8
81.1	17.655
81.2	17.56
81.3	17.489
81.4	17.413
81.5	17.31
81.6	17.219
81.7	17.103
81.8	17.029
81.8	17.029
81.9	16.911
82.0	16.791
82.1	16.683
82.2	16.559
82.3	16.442
82.4	16.31
82.5	16.175
82.6	16.004
82.7	15.889
82.8	15.745
82.9	15.58
83.1	15.25
83.2	15.068
83.3	14.884
83.4	14.698
83.5	14.504
83.6	14.302
83.7	14.088
83.8	13.876
83.8	13.876
83.9	13.675
84.1	13.191
84.2	12.955
84.3	12.697
84.4	12.449
84.5	12.189
84.6	11.906
84.7	11.616
84.8	11.326
84.8	11.326
84.9	11.03
85.1	10.394
85.15	10.232
85.2	10.092
85.25	9.921
85.3	9.746
85.35	9.578
85.4	9.426
85.45	9.241
85.5	9.076
85.55	8.88
85.6	8.712
85.65	8.538
85.7	8.356
85.75	8.178
85.8	7.976
85.85	7.807
85.85	7.807
85.9	7.615
85.95	7.431
86.0	7.243
86.05	7.037
86.1	6.856
86.15	6.662
86.2	6.466
86.25	6.272
86.3	6.095
86.35	5.899
86.4	5.681
86.45	5.498
86.5	5.305
86.55	5.112
86.6	4.928
86.65	4.748
86.7	4.543
86.75	4.367
86.8	4.168
86.85	3.986
86.9	3.802
86.95	3.62
87.05	3.272
87.1	3.099
87.15	2.925
87.2	2.759
87.25	2.594
87.3	2.436
87.35	2.288
87.4	2.138
87.45	1.989
87.5	1.856
87.55	1.723
87.6	1.593
87.65	1.471
87.7	1.359
87.75	1.244
87.8	1.142
87.8	1.142
87.85	1.046
87.9	0.946
87.95	0.86
88.05	0.703
88.1	0.631
88.15	0.568
88.2	0.507
88.25	0.452
88.3	0.403
88.35	0.357
88.4	0.313
88.45	0.276
88.5	0.243
88.55	0.213
88.6	0.184
88.65	0.158
88.7	0.138
88.75	0.119
88.8	0.102
88.8	0.102
88.85	0.087
88.9	0.075
88.95	0.063
89.0	0.053
89.05	0.045
89.1	0.037
89.15	0.032
89.2	0.027
89.25	0.023
89.3	0.02
89.35	0.017
89.4	0.015
89.45	0.013
89.5	0.011
89.55	0.01
89.6	0.009
89.65	0.008
89.7	0.008
89.75	0.008
89.8	0.007
89.85	0.007
89.9	0.007
89.95	0.007
90.00   0.000
