#C Ga 30keV Si
#IncidenceAngle	Yield
0.0	2.369
1.5	2.376
3.0	2.379
4.5	2.392
6.0	2.411
7.5	2.432
9.0	2.465
10.5	2.5
12.0	2.536
13.5	2.579
15.0	2.635
16.5	2.689
18.0	2.748
19.5	2.813
21.0	2.882
22.0	2.938
23.0	2.994
24.0	3.047
25.0	3.108
26.0	3.172
27.0	3.246
28.0	3.321
29.0	3.392
30.0	3.473
31.0	3.554
32.0	3.645
33.0	3.731
34.0	3.832
35.0	3.934
36.0	4.032
37.0	4.139
38.0	4.267
39.0	4.38
40.0	4.514
40.75	4.609
41.5	4.715
42.25	4.824
43.0	4.939
43.75	5.053
44.5	5.168
45.25	5.305
46.0	5.439
46.75	5.564
47.5	5.707
48.25	5.86
49.0	6.017
49.75	6.174
50.5	6.331
51.0	6.45
51.5	6.563
52.0	6.687
52.5	6.815
53.0	6.943
53.5	7.071
54.0	7.203
54.5	7.342
55.0	7.481
55.5	7.639
56.0	7.777
56.5	7.934
57.0	8.088
57.5	8.255
58.0	8.405
58.5	8.586
59.0	8.755
59.5	8.93
60.0	9.113
60.5	9.294
61.0	9.487
61.5	9.679
62.0	9.88
62.5	10.086
63.0	10.291
63.5	10.511
64.0	10.734
64.5	10.955
65.0	11.169
65.5	11.4
66.0	11.628
66.5	11.865
67.0	12.106
67.5	12.356
68.0	12.6
68.5	12.852
69.0	13.089
69.5	13.345
70.0	13.596
70.25	13.743
70.5	13.855
70.75	13.996
71.0	14.115
71.25	14.25
71.5	14.379
71.75	14.496
72.0	14.615
72.25	14.753
72.5	14.891
72.75	15.002
73.0	15.128
73.25	15.253
73.5	15.38
73.75	15.495
74.0	15.607
74.25	15.736
74.5	15.866
74.75	16.0
75.0	16.102
75.25	16.215
75.5	16.335
75.75	16.438
76.0	16.548
76.25	16.644
76.5	16.762
76.75	16.862
77.0	16.959
77.25	17.038
77.5	17.128
77.75	17.21
78.0	17.296
78.25	17.373
78.5	17.464
78.75	17.529
79.0	17.582
79.25	17.618
79.5	17.665
79.75	17.714
80.1	17.786
80.2	17.78
80.3	17.786
80.4	17.788
80.5	17.815
80.6	17.815
80.7	17.806
80.8	17.805
80.8	17.805
80.9	17.797
81.1	17.801
81.2	17.804
81.3	17.797
81.4	17.772
81.5	17.792
81.6	17.751
81.7	17.758
81.8	17.739
81.8	17.739
81.9	17.716
82.0	17.709
82.1	17.689
82.2	17.653
82.3	17.645
82.4	17.604
82.5	17.562
82.6	17.532
82.7	17.487
82.8	17.464
82.9	17.402
83.0	17.375
83.1	17.317
83.2	17.286
83.3	17.21
83.4	17.138
83.5	17.101
83.6	17.012
83.7	16.956
83.8	16.874
83.9	16.789
84.0	16.73
84.1	16.646
84.2	16.543
84.3	16.444
84.4	16.347
84.5	16.235
84.6	16.133
84.7	15.998
84.8	15.884
84.9	15.762
85.0	15.624
85.1	15.491
85.15	15.408
85.2	15.301
85.25	15.241
85.3	15.146
85.35	15.065
85.4	14.968
85.45	14.884
85.5	14.805
85.55	14.708
85.6	14.606
85.65	14.525
85.7	14.4
85.75	14.31
85.8	14.197
85.85	14.078
85.9	13.986
85.95	13.851
86.0	13.736
86.05	13.622
86.1	13.5
86.15	13.353
86.2	13.233
86.25	13.09
86.3	12.961
86.35	12.802
86.4	12.675
86.45	12.516
86.5	12.345
86.55	12.182
86.6	12.002
86.65	11.848
86.7	11.664
86.75	11.492
86.8	11.292
86.85	11.124
86.9	10.91
86.95	10.694
87.05	10.277
87.1	10.04
87.15	9.82
87.2	9.585
87.25	9.353
87.3	9.106
87.35	8.848
87.4	8.579
87.45	8.317
87.5	8.034
87.55	7.765
87.6	7.478
87.65	7.187
87.7	6.906
87.75	6.586
87.8	6.275
87.8	6.275
87.85	5.959
87.9	5.645
87.95	5.336
88.0	5.013
88.05	4.688
88.1	4.367
88.15	4.038
88.2	3.718
88.25	3.403
88.3	3.097
88.35	2.8
88.4	2.511
88.45	2.233
88.5	1.956
88.55	1.71
88.6	1.482
88.65	1.255
88.7	1.063
88.75	0.882
88.8	0.724
88.85	0.584
88.9	0.472
88.95	0.367
89.05	0.218
89.1	0.163
89.15	0.122
89.2	0.089
89.25	0.065
89.3	0.046
89.35	0.032
89.4	0.023
89.4	0.023
89.45	0.016
89.5	0.011
89.55	0.008
89.6	0.006
89.65	0.004
89.7	0.003
89.75	0.002
89.8	0.002
89.85	0.001
89.9	0.001
89.95	0.001
90.00	0.000
