#C Ar 10keV Si
#IncidenceAngle	Yield
0.0	1.621
1.5	1.616
3.0	1.626
4.5	1.638
6.0	1.653
7.5	1.668
9.0	1.684
10.5	1.710
12.0	1.743
13.5	1.772
15.0	1.807
16.5	1.848
18.0	1.894
19.5	1.945
21.0	2.000
22.0	2.040
23.0	2.080
24.0	2.124
25.0	2.168
26.0	2.218
27.0	2.276
28.0	2.324
29.0	2.382
30.0	2.441
31.0	2.505
32.0	2.568
33.0	2.638
34.0	2.709
35.0	2.791
36.0	2.868
37.0	2.950
38.0	3.038
39.0	3.132
40.0	3.226
40.75	3.299
41.5	3.374
42.25	3.457
43.0	3.543
43.75	3.625
44.5	3.719
45.25	3.803
46.0	3.901
46.75	3.997
47.5	4.098
48.25	4.199
49.0	4.305
49.75	4.418
50.5	4.531
51.0	4.613
51.5	4.692
52.0	4.774
52.5	4.856
53.0	4.947
53.5	5.026
54.0	5.116
54.5	5.203
55.0	5.302
55.5	5.386
56.0	5.482
56.5	5.583
57.0	5.679
57.5	5.779
58.0	5.876
58.5	5.986
59.0	6.081
59.5	6.193
60.0	6.291
60.5	6.407
61.0	6.522
61.5	6.625
62.0	6.737
62.5	6.849
63.0	6.961
63.5	7.085
64.0	7.201
64.5	7.321
65.0	7.431
65.5	7.551
66.0	7.677
66.5	7.792
67.0	7.920
67.5	8.047
68.0	8.163
68.5	8.282
69.0	8.403
69.5	8.521
70.0	8.638
70.25	8.700
70.5	8.760
70.75	8.812
71.0	8.879
71.25	8.927
71.5	8.995
71.75	9.036
72.0	9.106
72.25	9.152
72.5	9.204
72.75	9.260
73.0	9.315
73.25	9.367
73.5	9.415
73.75	9.458
74.0	9.510
74.25	9.557
74.5	9.594
74.75	9.643
75.0	9.682
75.25	9.731
75.5	9.763
75.75	9.800
76.0	9.840
76.25	9.888
76.5	9.905
76.75	9.930
77.0	9.954
77.25	9.982
77.5	10.002
77.75	10.027
78.0	10.038
78.25	10.042
78.5	10.057
78.75	10.058
79.0	10.063
79.25	10.052
79.5	10.050
79.75	10.039
80.0	10.022
80.1	10.016
80.2	10.010
80.3	9.997
80.4	9.985
80.5	9.973
80.6	9.969
80.7	9.938
80.8	9.933
80.9	9.915
81.0	9.896
81.1	9.883
81.2	9.860
81.3	9.846
81.4	9.828
81.5	9.803
81.6	9.773
81.7	9.747
81.8	9.714
81.9	9.699
81.91	9.688
81.92	9.691
81.93	9.685
81.94	9.684
81.95	9.673
