#C Ga 30keV SiO2
#IncidenceAngle	Yield
0.0	0.58375
1.5	0.5835
3.0	0.5855
4.5	0.589
6.0	0.595
7.5	0.6
9.0	0.60975
10.5	0.618
12.0	0.62975
13.5	0.6415
15.0	0.65525
16.5	0.67075
18.0	0.68875
19.5	0.70725
21.0	0.72875
22.0	0.74275
23.0	0.759
24.0	0.7765
25.0	0.792
26.0	0.81025
27.0	0.8285
28.0	0.84775
29.0	0.87025
30.0	0.89175
31.0	0.91475
32.0	0.93725
33.0	0.96375
34.0	0.99
35.0	1.017
36.0	1.04525
37.0	1.0765
38.0	1.107
39.0	1.13925
40.0	1.174
40.75	1.20225
41.5	1.23025
42.25	1.25975
43.0	1.28825
43.75	1.3205
44.5	1.3545
45.25	1.38825
46.0	1.42075
46.75	1.45875
47.5	1.49775
48.25	1.536
49.0	1.578
49.75	1.62025
50.5	1.664
51.0	1.6945
51.5	1.72625
52.0	1.75875
52.5	1.79225
53.0	1.82925
53.5	1.86325
54.0	1.8985
54.5	1.937
55.0	1.975
55.5	2.01425
56.0	2.05475
56.5	2.0975
57.0	2.141
57.5	2.1875
58.0	2.229
58.5	2.2775
59.0	2.3265
59.5	2.37825
60.0	2.4285
60.5	2.4815
61.0	2.538
61.5	2.58825
62.0	2.65
62.5	2.70925
63.0	2.767
63.5	2.8285
64.0	2.89275
64.5	2.95975
65.0	3.028
65.5	3.09475
66.0	3.16325
66.5	3.24075
67.0	3.316
67.5	3.38775
68.0	3.46625
68.5	3.54075
69.0	3.62375
69.5	3.7065
70.0	3.78525
70.25	3.82775
70.5	3.868
70.75	3.91475
71.0	3.9535
71.25	3.99975
71.5	4.042
71.75	4.08525
72.0	4.13125
72.25	4.17475
72.5	4.2135
72.75	4.26275
73.0	4.3045
73.25	4.34675
73.5	4.3895
73.75	4.43725
74.0	4.4775
74.25	4.522
74.5	4.56775
74.75	4.61125
75.0	4.6535
75.25	4.6975
75.5	4.7385
75.75	4.7765
76.0	4.81825
76.25	4.861
76.5	4.89675
76.75	4.93675
77.0	4.97775
77.25	5.011
77.5	5.0525
77.75	5.0835
78.0	5.11625
78.25	5.15175
78.5	5.18525
78.75	5.211
79.0	5.244
79.25	5.26775
79.5	5.29575
79.75	5.31425
80.1	5.3375
80.2	5.349
80.3	5.3555
80.4	5.3565
80.5	5.365
80.6	5.3725
80.7	5.37425
80.8	5.3755
80.8	5.3755
80.9	5.38225
81.0	5.38425
81.1	5.3865
81.2	5.393
81.3	5.389
81.4	5.39075
81.5	5.39525
81.6	5.3885
81.7	5.3905
81.8	5.3895
81.9	5.38175
82.0	5.38325
82.1	5.37675
82.2	5.372
82.3	5.36375
82.4	5.3605
82.5	5.35675
82.6	5.34275
82.7	5.335
82.8	5.3245
82.9	5.315
83.1	5.28725
83.2	5.2735
83.3	5.25575
83.4	5.2395
83.5	5.2185
83.6	5.20525
83.7	5.181
83.8	5.1565
83.8	5.1565
83.9	5.129
84.0	5.10875
84.1	5.075
84.2	5.04675
84.3	5.01575
84.4	4.981
84.5	4.945
84.6	4.909
84.7	4.871
84.8	4.82375
84.9	4.7755
85.0	4.732
85.1	4.67725
85.15	4.651
85.2	4.62575
85.25	4.596
85.3	4.56825
85.35	4.5355
85.4	4.507
85.45	4.473
85.5	4.44175
85.55	4.41075
85.6	4.376
85.65	4.34
85.7	4.303
85.75	4.264
85.8	4.226
85.85	4.1895
85.9	4.145
85.95	4.1015
86.05	4.01425
86.1	3.97075
86.15	3.915
86.2	3.86725
86.25	3.81575
86.3	3.76475
86.35	3.7105
86.4	3.6605
86.4	3.6605
86.45	3.6
86.5	3.542
86.55	3.48125
86.6	3.4185
86.65	3.35425
86.7	3.29125
86.75	3.2255
86.8	3.153
86.85	3.0805
86.9	3.01025
86.95	2.934
87.0	2.8535
87.05	2.7785
87.1	2.692
87.15	2.60325
87.2	2.52425
87.25	2.437
87.3	2.34475
87.35	2.253
87.4	2.163
87.45	2.0655
87.5	1.9755
87.55	1.873
87.6	1.777
87.65	1.6795
87.7	1.58175
87.75	1.48175
87.8	1.38
87.85	1.281
87.9	1.18275
87.95	1.08275
88.0	0.98925
88.05	0.8975
88.1	0.8095
88.15	0.72275
88.2	0.63775
88.25	0.5615
88.3	0.4865
88.35	0.41725
88.4	0.35375
88.45	0.2975
88.5	0.2455
88.55	0.201
88.6	0.1615
88.65	0.1285
88.7	0.0985
88.75	0.077
88.8	0.057
88.85	0.04275
88.9	0.03125
88.95	0.023
89.0	0.01625
89.05	0.01125
89.1	0.0075
89.15	0.005
89.2	0.00325
89.25	0.002
89.3	0.0015
89.35	0.0005
89.4	0.00025
89.45	0.00025
89.5	0.0
89.55	0.0
89.6	0.0
89.65	0.0
89.7	0.0
89.75	0.0
89.8	0.0
89.85	0.0
89.9	0.0
89.95	0.0
