#C Xe 30keV Si
#IncidenceAngle	Yield
0.0	3.618
1.5	3.621
3.0	3.639
4.5	3.649
6.0	3.681
7.5	3.709
9.0	3.754
10.5	3.808
12.0	3.869
13.5	3.931
15.0	4.01
16.5	4.093
18.0	4.184
19.5	4.285
21.0	4.395
22.0	4.474
23.0	4.558
24.0	4.647
25.0	4.741
26.0	4.828
27.0	4.931
28.0	5.034
29.0	5.148
30.0	5.274
31.0	5.39
32.0	5.518
33.0	5.653
34.0	5.782
35.0	5.931
36.0	6.08
37.0	6.238
38.0	6.404
39.0	6.593
40.0	6.754
40.75	6.907
41.5	7.047
42.25	7.199
43.0	7.356
43.75	7.516
44.5	7.686
45.25	7.866
46.0	8.053
46.75	8.241
47.5	8.427
48.25	8.636
49.0	8.845
49.75	9.059
50.5	9.286
51.0	9.441
51.5	9.606
52.0	9.771
52.5	9.937
53.0	10.117
53.5	10.3
54.0	10.485
54.5	10.667
55.0	10.867
55.5	11.059
56.0	11.282
56.5	11.495
57.0	11.705
57.5	11.938
58.0	12.178
58.5	12.424
59.0	12.657
59.5	12.914
60.0	13.183
60.5	13.444
61.0	13.736
61.5	14.023
62.0	14.301
62.5	14.623
63.0	14.93
63.5	15.257
64.0	15.582
64.5	15.94
65.0	16.291
65.5	16.649
66.0	17.028
66.5	17.403
67.0	17.78
67.5	18.182
68.0	18.6
68.5	19.009
69.0	19.445
69.5	19.873
70.0	20.301
70.25	20.535
70.5	20.763
70.75	20.962
71.0	21.199
71.25	21.428
71.5	21.66
71.75	21.902
72.0	22.125
72.25	22.345
72.5	22.582
72.75	22.828
73.0	23.042
73.25	23.264
73.5	23.51
73.75	23.727
74.0	23.962
74.25	24.198
74.5	24.407
74.75	24.657
75.0	24.848
75.25	25.073
75.5	25.288
75.75	25.486
76.0	25.697
76.25	25.888
76.5	26.078
76.75	26.274
77.0	26.467
77.25	26.655
77.5	26.818
77.75	26.965
78.0	27.111
78.25	27.242
78.5	27.377
78.75	27.513
79.0	27.597
79.25	27.705
79.5	27.806
79.75	27.839
80.0	27.886
80.1	27.901
80.2	27.92
80.3	27.927
80.4	27.933
80.5	27.933
80.6	27.914
80.7	27.944
80.8	27.933
80.9	27.914
81.1	27.881
81.2	27.871
81.3	27.851
81.4	27.802
81.5	27.782
81.6	27.759
81.7	27.728
81.8	27.665
81.8	27.665
81.9	27.607
82.0	27.579
82.1	27.515
82.2	27.442
82.3	27.373
82.4	27.312
82.5	27.233
82.6	27.135
82.7	27.057
82.8	26.939
82.9	26.855
83.1	26.638
83.2	26.518
83.3	26.393
83.4	26.271
83.5	26.129
83.6	25.972
83.7	25.8
83.8	25.639
83.8	25.639
83.9	25.473
84.0	25.291
84.1	25.083
84.2	24.878
84.3	24.662
84.4	24.467
84.5	24.234
84.6	23.967
84.7	23.719
84.8	23.455
84.9	23.156
85.0	22.875
85.1	22.548
85.15	22.411
85.2	22.255
85.25	22.049
85.3	21.919
85.35	21.716
85.4	21.515
85.45	21.336
85.5	21.173
85.55	20.973
85.6	20.777
85.65	20.559
85.7	20.335
85.75	20.128
85.8	19.919
85.85	19.682
85.9	19.449
85.95	19.232
86.05	18.721
86.1	18.491
86.15	18.25
86.2	17.977
86.25	17.679
86.3	17.414
86.35	17.144
86.4	16.855
86.45	16.562
86.5	16.251
86.55	15.972
86.6	15.629
86.65	15.311
86.7	14.998
86.75	14.652
86.8	14.323
86.8	14.323
86.85	13.979
86.9	13.602
86.95	13.242
87.05	12.48
87.1	12.109
87.15	11.731
87.2	11.341
87.25	10.951
87.3	10.541
87.35	10.103
87.4	9.676
87.4	9.676
87.45	9.277
87.5	8.866
87.55	8.429
87.6	8.025
87.65	7.577
87.7	7.145
87.75	6.721
87.8	6.294
87.85	5.877
87.9	5.481
87.95	5.066
88.0	4.669
88.05	4.274
88.1	3.913
88.15	3.534
88.2	3.196
88.25	2.857
88.3	2.541
88.35	2.252
88.4	1.972
88.45	1.721
88.5	1.481
88.55	1.27
88.6	1.081
88.65	0.916
88.7	0.763
88.75	0.629
88.8	0.516
88.85	0.423
88.9	0.341
88.95	0.272
89.05	0.17
89.1	0.132
89.15	0.102
89.2	0.076
89.25	0.058
89.3	0.042
89.35	0.031
89.4	0.022
89.4	0.022
89.45	0.016
89.5	0.011
89.55	0.008
89.6	0.006
89.65	0.005
89.7	0.004
89.75	0.004
89.8	0.004
89.85	0.004
89.9	0.004
89.95	0.004
